added,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,creativity,creativity_rank,creativity_rank_type,draft_rank,position_id,event_points,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,starts,status,club_id,threat,threat_rank,threat_rank_type,total_points,web_name,yellow_cards
2023-07-05T08:58:28.269861Z,0,0,4,0,0,0,444180,4.6,373,185,214,3,0,0.02,0.09,0.07,4.44,Jaidon,0.0,5,0,3.0,389,180,62,false,9.0,396,177,151,Season-long loan to Leeds United,2023-09-03T20:09:06.556250Z,0,0,0,1.0,0,0,Anthony,2,u,3,16.0,297,151,3,Anthony,1
2023-07-05T08:58:28.270540Z,1,3,121,100,100,1,168991,152.0,53,39,94,3,8,1.00,2.55,1.55,20.58,Philip,5.3,20,1,47.9,55,36,63,false,191.0,69,26,861,"",2023-10-10T12:00:08.143954Z,0,0,0,3.1,0,0,Billing,10,a,3,138.0,57,34,31,Billing,1
2023-07-05T08:58:28.271100Z,0,2,51,,,0,111317,82.0,130,90,269,3,0,0.38,2.02,1.64,4.45,David,0.7,3,1,22.8,189,95,64,false,61.8,262,104,223,"",,0,0,0,1.9,0,0,Brooks,2,a,3,83.0,123,72,15,Brooks,1
2023-07-05T08:58:28.271642Z,1,0,81,100,100,1,158499,151.6,56,41,211,3,2,0.79,1.20,0.41,16.77,Ryan,1.3,16,0,35.7,91,55,65,false,98.4,189,74,692,"",2023-08-06T23:30:05.398527Z,0,0,0,2.1,0,0,Christie,9,a,3,106.0,91,55,21,Christie,0
2023-07-05T08:58:28.272126Z,0,0,75,0,0,1,155408,62.3,175,104,223,3,0,0.22,0.29,0.07,16.66,Lewis,0.0,15,0,15.7,253,115,66,false,76.6,234,92,524,Suspended until 11 Nov,2023-10-21T17:30:07.277985Z,0,0,0,1.4,1,0,Cook,6,s,3,18.0,276,143,10,L.Cook,0
2023-07-05T08:58:28.272651Z,0,0,0,0,0,0,244085,0.0,620,244,466,3,0,0.00,0.00,0.00,0.00,Siriki,0.0,0,0,0.0,627,246,67,false,0.0,622,243,0,Permanent Transfer to Birmingham,2023-07-17T06:20:36.127600Z,0,0,0,0.0,0,0,Dembélé,0,u,3,0.0,610,241,0,Siriki,0
2023-07-05T08:58:28.273141Z,0,0,0,0,0,0,81012,0.0,552,217,459,2,0,0.00,0.00,0.00,0.00,Ryan,0.0,0,0,0.0,566,217,68,false,0.0,561,218,0,Calf injury - Unknown return date,2023-08-06T23:30:05.414382Z,0,0,0,0.0,0,0,Fredericks,0,i,3,0.0,537,214,0,Fredericks,0
2023-07-05T08:58:28.273693Z,0,0,1,0,0,0,463981,1.8,391,146,646,2,0,0.01,0.01,0.00,0.19,James,0.0,0,0,0.2,440,155,69,false,0.0,524,197,15,Season-long loan to Blackburn Rovers,2023-09-01T14:44:09.529285Z,0,0,0,1.0,0,0,Hill,0,u,3,0.0,487,185,1,Hill,0
2023-07-05T08:58:28.274169Z,0,2,90,100,100,1,235530,36.1,245,72,403,2,2,0.09,0.21,0.12,8.54,Lloyd,1.0,8,0,12.2,287,99,70,false,80.2,227,91,456,"",2023-09-25T14:30:07.504064Z,0,0,0,2.2,0,0,Kelly,5,a,3,6.0,348,120,13,Kelly,1
2023-07-05T08:58:28.274704Z,0,0,0,,,0,444183,0.0,584,232,489,3,0,0.00,0.00,0.00,0.00,Gavin,0.0,0,0,0.0,597,234,71,false,0.0,592,230,0,"",,0,0,0,0.0,0,0,Kilkenny,0,a,3,0.0,572,228,0,Kilkenny,0
